,Num_DRS,DRS,Num_GVE,GVE,Num_Região_Saúde,RegiãodeSaúde,Município,SE01,SE02,SE03,SE04,SE05,SE06,SE07,SE08,SE09,SE10,SE11,SE12,SE13
382,5,Barretos,XIV,BARRETOS,35051,NORTE-BARRETOS,353390 Olímpia,0,0,0,0,0,0,0,0,0,0,0,0,0
383,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35155,SÃO JOSÉ DO RIO PRETO,353400 Onda Verde,0,0,0,0,0,0,0,0,0,0,0,0,0
384,9,Marília,XIX,MARÍLIA,35093,MARÍLIA,353410 Oriente,0,0,0,0,0,0,0,0,0,0,0,0,0
385,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35155,SÃO JOSÉ DO RIO PRETO,353420 Orindiúva,0,0,0,0,0,0,0,0,0,0,0,0,0
386,8,Franca,XVIII,FRANCA,35082,ALTA ANHANGUERA,353430 Orlândia,0,0,0,0,0,0,0,0,0,0,0,0,0
387,1,São Paulo,X,OSASCO,35014,ROTA DOS BANDEIRANTES,353440 Osasco,0,0,0,0,0,0,0,0,0,1,2,0,1
388,9,Marília,XIX,MARÍLIA,35093,MARÍLIA,353450 Oscar Bressane,0,0,0,0,0,0,0,0,0,0,0,0,0
389,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA,353460 Osvaldo Cruz,0,0,0,0,0,0,0,0,0,0,0,0,0
390,9,Marília,XIII,ASSIS,35094,OURINHOS,353470 Ourinhos,0,0,0,0,0,0,0,0,0,0,0,0,0
391,15,São José do Rio Preto,XXX,JALES,35154,FERNANDÓPOLIS,353475 Ouroeste,0,0,0,0,0,0,0,0,0,0,0,0,0
392,11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,35111,ALTA PAULISTA,353480 Ouro Verde,0,0,0,0,0,0,0,0,0,0,0,0,0
393,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA,353490 Pacaembu,0,0,0,0,0,0,0,0,0,0,0,0,0
394,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35155,SÃO JOSÉ DO RIO PRETO,353500 Palestina,0,0,0,0,0,0,0,0,0,0,0,0,0
395,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35151,CATANDUVA,353510 Palmares Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
396,15,São José do Rio Preto,XXX,JALES,35153,JALES,353520 Palmeira d'Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0
397,9,Marília,XIII,ASSIS,35092,ASSIS,353530 Palmital,0,0,0,0,0,0,0,0,0,0,0,0,0
398,11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,35111,ALTA PAULISTA,353540 Panorama,0,0,0,0,0,0,0,0,0,0,0,0,0
399,9,Marília,XIII,ASSIS,35092,ASSIS,353550 Paraguaçu Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
400,17,Taubaté,XXVII,SÃO JOSÉ DOS CAMPOS,35171,ALTO VALE DO PARAÍBA,353560 Paraibuna,0,0,0,0,0,0,0,0,0,0,0,0,0
401,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35151,CATANDUVA,353570 Paraíso,0,0,0,0,0,0,0,0,0,0,0,0,0
402,6,Bauru,XVI,BOTUCATU,35061,VALE DO JURUMIRIM,353580 Paranapanema,0,0,0,0,0,0,0,0,0,0,0,0,0
403,15,São José do Rio Preto,XXX,JALES,35153,JALES,353590 Paranapuã,0,0,0,0,0,0,0,0,0,0,0,0,0
404,9,Marília,XIX,MARÍLIA,35095,TUPÃ,353600 Parapuã,0,0,0,0,0,0,0,0,0,0,0,0,0
405,6,Bauru,XVI,BOTUCATU,35063,POLO CUESTA,353610 Pardinho,0,0,0,0,0,0,0,0,0,0,0,0,0
406,12,Registro,XXIII,REGISTRO,35121,VALE DO RIBEIRA,353620 Pariquera-Açu,0,0,0,0,0,0,0,0,0,0,0,0,0
407,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35157,VOTUPORANGA,353625 Parisi,0,0,0,0,0,0,0,0,0,0,0,0,0
408,8,Franca,XVIII,FRANCA,35081,TRÊS COLINAS,353630 Patrocínio Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
409,11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,35111,ALTA PAULISTA,353640 Paulicéia,0,0,0,0,0,0,0,0,0,0,0,0,0
410,7,Campinas,XVII,CAMPINAS,35072,REG METRO CAMPINAS,353650 Paulínia,0,0,0,0,0,0,0,0,0,0,0,0,0
411,6,Bauru,XV,BAURU,35062,BAURU,353657 Paulistânia,0,0,0,0,0,0,0,0,0,0,0,0,0
412,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35155,SÃO JOSÉ DO RIO PRETO,353660 Paulo de Faria,0,0,0,0,0,0,0,0,0,0,0,0,0
413,6,Bauru,XV,BAURU,35062,BAURU,353670 Pederneiras,0,0,0,0,0,0,0,0,0,0,0,0,0
414,7,Campinas,XVII,CAMPINAS,35071,BRAGANÇA,353680 Pedra Bela,0,0,0,0,0,0,0,0,0,0,0,0,0
415,15,São José do Rio Preto,XXX,JALES,35154,FERNANDÓPOLIS,353690 Pedranópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
416,8,Franca,XVIII,FRANCA,35081,TRÊS COLINAS,353700 Pedregulho,0,0,0,0,0,0,0,0,0,0,0,0,0
417,7,Campinas,XVII,CAMPINAS,35072,REG METRO CAMPINAS,353710 Pedreira,0,0,0,0,0,0,0,0,0,0,0,0,0
418,9,Marília,XIII,ASSIS,35092,ASSIS,353715 Pedrinhas Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
419,12,Registro,XXIII,REGISTRO,35121,VALE DO RIBEIRA,353720 Pedro de Toledo,0,0,0,0,0,0,0,0,0,0,0,0,0
420,2,Araçatuba,XI,ARAÇATUBA,35023,CONSÓRCIOS DO DRS II,353730 Penápolis,0,0,0,0,0,0,0,0,0,0,0,0,0
421,2,Araçatuba,XI,ARAÇATUBA,35022,LAGOS DO DRS II,353740 Pereira Barreto,0,0,0,0,0,0,0,0,0,0,0,0,0
422,6,Bauru,XVI,BOTUCATU,35063,POLO CUESTA,353750 Pereiras,0,0,0,0,0,0,0,0,0,0,0,0,0
423,4,Baixada Santista,XXV,SANTOS,35041,BAIXADA SANTISTA,353760 Peruíbe,0,0,0,0,0,0,1,0,1,0,0,0,0
424,2,Araçatuba,XI,ARAÇATUBA,35023,CONSÓRCIOS DO DRS II,353770 Piacatu,0,0,0,0,0,0,0,0,0,0,0,0,0
425,16,Sorocaba,XXXI,SOROCABA,35163,SOROCABA,353780 Piedade,0,0,0,0,0,0,0,0,0,0,0,0,0
