,Num_DRS,DRS,Num_GVE,GVE,Num_Região_Saúde,RegiãodeSaúde,Num_Municipio
71,4,Baixada Santista,XXV,SANTOS,35041,BAIXADA SANTISTA,350635
72,2,Araçatuba,XI,ARAÇATUBA,35021,CENTRAL DO DRS II,350640
73,2,Araçatuba,XI,ARAÇATUBA,35023,CONSÓRCIOS DO DRS II,350650
74,1,São Paulo,VIII,MOGI DAS CRUZES,35011,ALTO DO TIETÊ,350660
75,3,Araraquara,XII,ARARAQUARA,35031,CENTRAL DO DRS III,350670
76,6,Bauru,XV,BAURU,35064,JAU,350680
77,6,Bauru,XVI,BOTUCATU,35063,POLO CUESTA,350690
78,16,Sorocaba,XXXI,SOROCABA,35163,SOROCABA,350700
79,7,Campinas,XVII,CAMPINAS,35071,BRAGANÇA,350710
80,16,Sorocaba,XXXII,ITAPEVA,35162,ITAPEVA,350715
81,9,Marília,XIII,ASSIS,35092,ASSIS,350720
82,6,Bauru,XV,BAURU,35064,JAU,350730
83,3,Araraquara,XII,ARARAQUARA,35032,CENTRO OESTE DO DRS III,350740
84,6,Bauru,XV,BAURU,35062,BAURU,350745
85,6,Bauru,XVI,BOTUCATU,35063,POLO CUESTA,350750
86,7,Campinas,XVII,CAMPINAS,35071,BRAGANÇA,350760
87,2,Araçatuba,XI,ARAÇATUBA,35023,CONSÓRCIOS DO DRS II,350770
88,2,Araçatuba,XI,ARAÇATUBA,35023,CONSÓRCIOS DO DRS II,350775
89,13,Riberão Preto,XXIV,RIBEIRÃO PRETO,35133,VALE DAS CACHOEIRAS,350780
90,6,Bauru,XV,BAURU,35064,JAU,350790
91,16,Sorocaba,XXXII,ITAPEVA,35162,ITAPEVA,350800
92,2,Araçatuba,XI,ARAÇATUBA,35023,CONSÓRCIOS DO DRS II,350810
93,8,Franca,XVIII,FRANCA,35083,ALTA MOGIANA,350820
94,6,Bauru,XV,BAURU,35062,BAURU,350830
95,7,Campinas,XVII,CAMPINAS,35073,JUNDIAÍ,350840
96,17,Taubaté,XXVII,SÃO JOSÉ DOS CAMPOS,35171,ALTO VALE DO PARAÍBA,350850
97,17,Taubaté,XXXIII,TAUBATÉ,35172,CIRCUITO DA FÉ - VALE HISTÓRICO,350860
98,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35143,RIO PARDO,350870
99,6,Bauru,XV,BAURU,35065,LINS,350880
100,11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,35112,ALTA SOROCABANA,350890
101,1,São Paulo,IX,FRANCO DA ROCHA,35012,FRANCO DA ROCHA,350900
102,11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,35114,EXTREMO OESTE PAULISTA,350910
