,Municipio,SE01,SE02,SE03,SE04,SE05,SE06,SE07,SE08,SE09,SE10,SE11,SE12,SE13
324,Marapoama,0,0,0,0,0,0,0,0,0,0,0,0,0
325,Mariápolis,0,0,0,0,0,0,0,0,0,0,0,0,0
326,Marília,0,0,0,1,0,0,0,0,0,0,0,0,0
327,Marinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
328,Martinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
329,Matão,0,0,0,0,0,0,0,0,0,0,0,0,0
330,Mauá,0,0,0,0,0,0,0,0,0,0,0,0,0
331,Mendonça,0,0,0,0,0,0,0,0,0,0,0,0,0
332,Meridiano,0,0,0,0,0,0,0,0,0,0,0,0,0
333,Mesópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
334,Miguelópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
335,Mineiros do Tietê,0,0,0,0,0,0,0,0,0,0,0,0,0
336,Miracatu,0,0,0,0,0,0,0,0,0,0,0,0,0
337,Mira Estrela,0,0,0,0,0,0,0,0,0,0,0,0,0
338,Mirandópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
339,Mirante do Paranapanema,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Mirassol,0,0,0,0,0,0,0,0,0,0,0,0,0
341,Mirassolândia,0,0,0,0,0,0,0,0,0,0,0,0,0
342,Mococa,0,0,0,0,0,0,0,0,0,0,0,0,0
343,Moji das Cruzes,0,0,0,0,0,0,0,0,0,0,0,0,0
344,Moji-Guaçu,0,0,0,0,0,0,0,0,0,0,0,0,0
345,Moji-Mirim,0,0,0,0,0,0,0,0,0,0,0,0,0
346,Mombuca,0,0,0,0,0,0,0,0,0,0,0,0,0
347,Monções,0,0,0,0,0,0,0,0,0,0,0,0,0
348,Mongaguá,0,0,0,0,0,0,0,0,0,0,1,0,0
349,Monte Alegre do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0
350,Monte Alto,0,0,0,0,0,0,0,0,0,0,0,0,0
351,Monte Aprazível,0,0,0,0,0,0,0,0,0,0,1,0,0
352,Monte Azul Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
353,Monte Castelo,0,0,0,0,0,0,0,0,0,0,0,0,0
354,Monteiro Lobato,0,0,0,0,0,0,0,0,0,0,0,0,0
355,Monte Mor,0,0,0,0,0,0,0,0,0,0,0,0,0
356,Morro Agudo,0,0,0,0,0,0,0,0,0,0,0,0,0
357,Morungaba,0,0,0,0,0,0,0,0,0,0,0,0,0
358,Motuca,0,0,0,0,0,0,0,0,0,0,0,0,0
359,Murutinga do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0
360,Nantes,0,0,0,0,0,0,0,0,0,0,0,0,0
361,Narandiba,0,0,0,0,0,0,0,0,0,0,0,0,0
362,Natividade da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0
363,Nazaré Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
364,Neves Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
365,Nhandeara,0,0,0,0,0,0,0,0,0,0,0,0,0
366,Nipoã,0,0,0,0,0,0,0,0,0,0,0,0,0
367,Nova Aliança,0,0,0,0,0,0,0,0,0,0,0,0,0
368,Nova Campina,0,0,0,0,0,0,0,0,0,0,0,0,0
369,Nova Canaã Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0
370,Nova Castilho,0,0,0,0,0,0,0,0,0,0,0,0,0
371,Nova Europa,0,0,0,0,0,0,0,0,0,0,0,0,0
372,Nova Granada,0,0,0,0,0,0,0,0,0,0,0,0,0
373,Nova Guataporanga,0,0,0,0,0,0,0,0,0,0,0,0,0
374,Nova Independência,0,0,0,0,0,0,0,0,0,0,0,0,0
375,Novais,0,0,0,0,0,0,0,0,0,0,0,0,0
376,Nova Luzitânia,0,0,0,0,0,0,0,0,0,0,0,0,0
377,Nova Odessa,0,0,0,0,0,0,0,0,0,0,0,0,0
378,Novo Horizonte,0,0,0,0,0,0,0,0,0,0,0,0,0
379,Nuporanga,0,0,0,0,0,0,0,0,0,0,0,0,0
380,Ocauçu,0,0,0,0,0,0,0,0,0,0,0,0,0
381,Óleo,0,0,0,0,0,0,0,0,0,0,0,0,0
382,Olímpia,0,0,0,0,0,0,0,0,0,0,0,0,0
383,Onda Verde,0,0,0,0,0,0,0,0,0,0,0,0,0
384,Oriente,0,0,0,0,0,0,0,0,0,0,0,0,0
385,Orindiúva,0,0,0,0,0,0,0,0,0,0,0,0,0
386,Orlândia,0,0,0,0,0,0,0,0,0,0,0,0,0
387,Osasco,0,0,0,0,0,0,0,0,0,1,2,0,1
388,Oscar Bressane,0,0,0,0,0,0,0,0,0,0,0,0,0
389,Osvaldo Cruz,0,0,0,0,0,0,0,0,0,0,0,0,0
390,Ourinhos,0,0,0,0,0,0,0,0,0,0,0,0,0
391,Ouroeste,0,0,0,0,0,0,0,0,0,0,0,0,0
